date,Kejadian,Penyebab,Keterangan,Lokasi,Posisi,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-03-10,Banjir,,,Cilacap,"-7.62158, 108.98775",0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0428571428571428
2020-03-11,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.5,0.1142857142857143
2020-03-12,Tidak Banjir,,,Cilacap,,0.8,0.3,0.9,0.0,0.0,7.8,2.2,0.0,7.8,1.7142857142857142
2020-03-13,Banjir,,,Cilacap,"-7.57084, 108.88061",0.0,0.2,0.0,0.0,0.2,1.3,1.9,0.0,1.9,0.5142857142857143
2020-03-14,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,1.6,1.1,2.2,0.0,2.2,0.7142857142857143
2020-03-15,Tidak Banjir,,,Cilacap,,1.6,0.0,0.0,0.0,0.2,2.6,0.0,0.0,2.6,0.6285714285714287
2020-03-16,Tidak Banjir,,,Cilacap,,0.6,0.0,0.0,0.0,2.5,0.1,1.6,0.0,2.5,0.6857142857142858
2020-03-17,Tidak Banjir,,,Cilacap,,0.3,0.0,0.0,0.2,0.2,1.4,2.0,0.0,2.0,0.5857142857142856
2020-03-18,Tidak Banjir,,,Cilacap,,2.0,0.0,0.0,0.0,0.0,0.4,3.0,0.0,3.0,0.7714285714285715
2020-03-19,Tidak Banjir,,,Cilacap,,1.2,2.5,0.7,1.2,1.0,3.3,3.2,0.7,3.3,1.871428571428572
2020-03-20,Tidak Banjir,,,Cilacap,,2.1,1.3,0.1,0.3,2.5,17.6,2.7,0.1,17.6,3.8
2020-03-21,Tidak Banjir,,,Cilacap,,1.9,0.0,0.0,0.2,0.0,0.2,0.3,0.0,1.9,0.3714285714285714
2020-03-22,Banjir,,Kerugian Materil : Jumlah rumah terendam sebagai berikut : • Desa Sidareja = 150 rumah • Desa Gunungreja = 187 rumah • Desa Tegalsari = 213 rumah • Desa Sidamulya = 224 rumah • Desa Sudagaran = 162 rumah • Desa Bangunreja = 12 rumah Total = +- 948 rumah.,Cilacap,"-7.53817, 108.84031",3.0,0.6,0.1,0.5,1.5,0.4,0.4,0.1,3.0,0.9285714285714288
2020-03-23,Tidak Banjir,,,Cilacap,,1.1,3.5,0.2,0.2,0.2,1.2,0.4,0.2,3.5,0.9714285714285716
