Waktu,Kejadian,Penyebab,Keterangan,Lokasi,Posisi
2020-01-27,Banjir,,,Batang,"-7.15124, 109.88747"
2020-01-28,Tidak Banjir,,,,
2020-01-29,Tidak Banjir,,,,
2020-01-30,Banjir,,,Cilacap,"-7.81894, 109.209"
2020-01-31,Banjir,,,Wonogiri,"-7.97105, 110.87432"
2020-02-01,Banjir,,TMA 30 – 120 cm,Wonogiri,"-7.94975, 110.97556"
2020-02-01,Banjir,,,Blora,"-6.93101, 111.57301"
2020-02-02,Banjir,,,Tuban,"-6.74198, 111.93293"
2020-02-02,Banjir,,TMA 20 – 100 cm,Bojonegoro,"-7.23218, 111.55153"
2020-02-03,Banjir,,,Semarang,"-7.10262, 110.49815"
2020-02-04,Banjir,,TMA 60 – 130 cm,Wonogiri,"-7.89973, 110.99475"
2020-02-05,Tidak Banjir,,,,
2020-02-06,Tidak Banjir,,,,
2020-02-07,Banjir,,,Cilacap,"-7.55941, 108.9601"
2020-02-07,Banjir,,,Sukaharjo,"-7.64328, 110.8617"
2020-02-07,Banjir,,,Banjarnegara,"-7.34653, 109.59691"
2020-02-07,Banjir,,,Wonosobo,"-7.43038, 109.8827"
2020-02-07,Banjir,,,Tuban,"-6.74957, 111.77708"
2020-02-08,Banjir,,,Banyumas,"-7.39787, 108.99345"
2020-02-08,Banjir,,,Banjarnegara,"-7.4607, 109.72062"
2020-02-08,Banjir,,,Kudus,"-6.80757, 110.93396"
2020-02-09,Tidak Banjir,,,,
2020-02-10,Banjir,,,Rembang,"-6.8346, 111.50862"
2020-02-11,Banjir,,,Ponogoro,"-7.98179, 111.64723"
2020-02-11,Banjir,,TMA 50 – 100 cm,Bojonegoro,"-7.3259, 111.66601"
2020-02-12,Tidak Banjir,,,,
2020-02-13,Banjir,,TMA 10 – 100 cm,Pati,"-6.92419, 110.86896"
2020-02-14,Tidak Banjir,,,,
2020-02-15,Banjir,,,Kebumen,"-7.71627, 109.42763"
2020-02-15,Banjir,,,Pacitan,"-7.9736, 111.31929"
2020-02-16,Banjir,,,Sukaharjo,"-7.86422, 110.90916"
2020-02-16,Banjir,,,Banyumas,"-7.42155, 108.93951"
2020-02-17,Banjir,,,Cilacap,"-7.71732, 108.9369"
2020-02-18,Banjir,,,Ponogoro,"-7.90775, 111.4526"
2020-02-19,Banjir,,,Pekalongan,"-7.13645, 109.53065"
2020-02-19,Banjir,,,Boyolali,"-7.29967, 110.73151"
2020-02-19,Banjir,,TMA 10 – 50 cm Pengungsian : 1.816Jiwa • Masjid Alkaromah-Tirto : 435 Jiwa • Mushola Al Ikhsan-Tirto : 100 Jiwa • Stadion Hoegeng-PKK : 264 Jiwa • Rumah H Tohirin-Tirto : 20 Jiwa • Aula Kelurahan Tirto : 105 Jiwa • Aula Kelurahan PKK : 56 Jiwa • TPQ Al Hikmah Tirto : 65 Jiwa • Aula Kec Barat : 306 Jiwa • Mushola Baitul Iman / Klego : 65 jiwa • Musola Al Ikhlas Klego : 9 jiwa • PA Arabitoh Klego : 70 jiwa • Daarul aitam arrobitoh : 40 jiwa • Gd Amanjiba Klego: 30 Jiwa • Masjid Khalid B Walid Klego : - Jiwa • SD 4 Klego : 15 Jiwa • Darul Istiqomah Tirto : 68 jiwa • Musola Al Aqso Krapyak : 19 jiwa • PMI` PKK : 2 jiwa • Masjid Al Ikhlas GTI Tirto : 30 Jiwa • Musola Al Ghozali PKK : 50 Jiwa • Gd Al Madina Pasirsari : 45 Jiwa • Musola Alhikmah Pasirsari : 22 Jiw,Kebumen,"-7.71863, 109.74952"
2020-02-20,Banjir,,,Wonogiri,"-7.97034, 110.96342"
2020-02-20,Banjir,,,Boyolali,"-7.26188, 110.76534"
2020-02-20,Banjir,,"Total Pengungsi : 2.956 Jiwa mengungsi dengan rincain : • Mushola Al Amin Kel Bener 40 Jiwa • Posko Kopindo Kel Bener 176 Jiwa • Mushola Nursaid karangjompo Kec Tirto 22 Jiwa • Tenda Dinsos Karang Jompo Kec Tirto 30 Jiwa • Rumah Rian Mushtofa karangjompo Kec Tirto 20 Jiwa • TPQ Nurul Hidayah Karangjompo Kec Tirto 40 Jiwa • Mushola Nurul Islam Karangjompo Kec Tirto 40 Jiwa • Mushola Alfalah Karangjompo Kec Tirto 40 Jiwa • Masjid Jami Tegaldowo Kec Tirto 85 Jiwa • Mushola Istiqomah Rt 01 Tegaldowo 219 Jiwa • Mushola Istiqomah Rt 07 Tegaldowo 79 Jiwa • Tenda Rt 08 Mulyorejo Kectirto 105 Jiwa • Tenda Rt 09 Mulyorejo Kectirto 65 Jiwa • Tenda Rt 12 Mulyorejo Kectirto 50 Jiwa • Tenda Rt 13 Mulyorejo Kectirto 57 Jiwa • Mushola Nurul Khasanah Mulyorejo, Kec Tirto 70 Jiwa • Mushola Nurul noad tegaldowo Kec tirto 320 Jiwa • Rumah Kades tegaldowo Kec Tirto 146 Jiwa • Kantor TPS Tegaldowo Kec Tirto 120 Jiwa • Masjid Dupuratek Karang jompo Kec Tirto 375 Jiwa • Mushola Al Hikmah karangjompo Kec Tirto 44 Jiwa • Mushola Nurul Salam karangjompo Kec Tirto 54 Jiwa • Kantor Sukun Kec Tirto13 Jiwa • Pos Lemah abang karangjompo Kec Tirto 73 Jiwa • Mushola Nurul Iman karangjompo Kec Tirto 26 Jiwa • Mushola Nurulhuda Karangjompo Kec Tirto 51 Jiwa • Kantor pengurus IPAI Mulyorejo Kec Tirto 25 Jiwa • Masjid Mulyorejo Kec Tirto 50 Jiwa • Gedung PAUD Mulyorejo Kec Tirto 25 Jiwa • Posko Lokatex Kec Siwalan 133 Jiwa • Posko Dusun Sajambe Kec Wonokerto 150 Jiwa • Masjid Pesangrahan Kec Wonokerto 73 Jiwa • Masjid jomi Api-Api Kec Wonokerto 40 Jiwa • Masjid Nurul Hikkmah Kec Wonokerto Kulon 100 Jiwa",Temanggung,"-7.20991, 109.95667"
2020-02-20,Banjir,,,Banjarnegara,"-7.2366, 109.73436"
2020-02-20,Banjir,,,Tuban,"-6.82022, 111.67632"
2020-02-20,Banjir,,,Pati,"-6.75069, 110.97397"
2020-02-21,Banjir,,,Kendal,"-7.14323, 110.23656"
2020-02-21,Banjir,,,Pati,"-6.97675, 110.82436"
2020-02-22,Banjir,,,Klaten,"-7.64942, 110.62951"
2020-02-22,Banjir,,,Batang,"-7.16601, 109.8883"
2020-02-22,Banjir,,,Kudus,"-6.80911, 110.95461"
2020-02-22,Banjir,,TMA 10 – 100 Cm,Pati,"-6.9473, 110.88283"
2020-02-23,Banjir,,,Klaten,"-7.79052, 110.63959"
2020-02-24,Banjir,,,Batang,"-7.1469, 109.86295"
2020-02-24,Banjir,,,Purworejo,"-7.52843, 109.95258"
2020-02-25,Tidak Banjir,,,,
2020-02-26,Banjir,,,Wonogiri,"-7.93527, 110.98263"
2020-02-26,Banjir,,,Banyumas,"-7.4422, 108.96495"
2020-02-27,Tidak Banjir,,,,
2020-02-28,Tidak Banjir,,,,
2020-02-29,Banjir,,,Semarang,"-7.32694, 110.46725"
2020-02-29,Banjir,,Kerugian materil • 22 rumah dengan ketinggian air saat ini 60-80 cm • Air Masuk kedalam beberapa rumah warga.,Purworejo,"-7.89978, 109.92377"
2020-03-01,Banjir,,,Wonogiri,"-7.96327, 110.86281"
2020-03-01,Banjir,,,Cilacap,"-7.55869, 108.99382"
2020-03-02,Banjir,,,Wonogiri,"-7.79672, 110.94328"
2020-03-03,Banjir,,,Karanganyar,"-7.52344, 110.94596"
2020-03-04,Banjir,,,Purworejo,"-7.94958, 109.90251"
2020-03-04,Banjir,,,Karanganyar,"-7.67046, 110.96832"
2020-03-05,Banjir,,"Korban Jiwa : • 1 orang MD a.n Suparjo/L/70th • 22 jiwa mengungsi di Masjid Bojong, Kec. Bagelen, Ds. Bapangsari • 30 KK terdampak Kerugian Materil : • 200 unit rumah terdampak • TMA 20 – 100 cm",Purworejo,"-7.803, 109.98044"
2020-03-05,Banjir,,,Kebumen,"-7.78373, 109.72648"
2020-03-05,Banjir,,"Korban Jiwa : Total 60 KK terdampak Rincian : Kec. Kroya, Ds. Mujur Lor • 32 KK terdampak Kec. Kawungaten, Ds. Bringkeng • 28 KK / 102 Jiwa terdampak Kerugian Materil : Total 60 unit rumah terdampak 35 Ha lahan sawah terdampak Rincian : Kec. Kroya, Ds. Mujur Lor • 32 unit rumah terdampak • 35 Ha lahan sawah terdampak • TMA 20-50 cm Kec. Kawungaten, Ds. Bringkeng • 28 unit rumah terdampak",Cilacap,"-7.5857, 108.98057"
2020-03-06,Tidak Banjir,,,,
2020-03-07,Banjir,,,Klaten,"-7.7191, 110.68122"
2020-03-07,Banjir,,,Sukoharjo,"-7.78248, 110.75146"
2020-03-08,Banjir,,,Boyolali,"-7.42754, 110.73671"
2020-03-08,Banjir,,Korban Jiwa : • Ds. Mulyadadi : 60 KK terdampak • Ds. Pahonjean : 250 KK terdampak Kerugian Materil : • Ds. Mulyadadi : 6 unit rumah terendam • Ds. Pahonjean : Tanggul jebol sepanjang ± 2 Meter,Cilacap,"-7.65991, 108.95604"
2020-03-09,Tidak Banjir,,,,
2020-03-10,Banjir,,,Cilacap,"-7.62158, 108.98775"
2020-03-11,Banjir,,,Boyolali,"-7.56529, 110.50263"
2020-03-12,Tidak Banjir,,,,
2020-03-13,Banjir,,,Cilacap,"-7.57084, 108.88061"
2020-03-13,Banjir,,,Kebumen,"-7.5982, 109.66052"
2020-03-14,Tidak Banjir,,,,
2020-03-15,Banjir,,,Kebumen,"-7.8576, 109.40343"
2020-03-16,Tidak Banjir,,,,
2020-03-17,Tidak Banjir,,,,
2020-03-18,Banjir,,,Kota Surakarta,"7.5837, 110.82508"
2020-03-19,Tidak Banjir,,,,
2020-03-20,Tidak Banjir,,,,
2020-03-21,Banjir,,,Boyolali,"-7.59027, 110.51839"
2020-03-22,Banjir,,Kerugian Materil : Jumlah rumah terendam sebagai berikut : • Desa Sidareja = 150 rumah • Desa Gunungreja = 187 rumah • Desa Tegalsari = 213 rumah • Desa Sidamulya = 224 rumah • Desa Sudagaran = 162 rumah • Desa Bangunreja = 12 rumah Total = +- 948 rumah.,Cilacap,"-7.53817, 108.84031"
2020-03-23,Banjir,,,Wonosobo,"-7.61951, 109.91326"
2020-03-24,Tidak Banjir,,,,
2020-03-25,Tidak Banjir,,,,
2020-03-26,Tidak Banjir,,,,
2020-03-27,Tidak Banjir,,,,
2020-03-28,Tidak Banjir,,,,
2020-03-29,Banjir,,,Cilacap,"-7.62924, 108.963"
2020-03-30,Tidak Banjir,,,,
2020-03-31,Banjir,,,Demak,"-6.96546, 110.75413"
2020-03-31,Banjir,,,Temanggung,"-7.3015, 110.20458"
2020-03-31,Banjir,,,Wonogiri,"-7.90857, 110.94884"
2020-04-01,Tidak Banjir,,,,
2020-04-02,Banjir,,,Kebumen,"-7.73097, 109.47726"
2020-04-02,Banjir,,,Temanggung,"-7.26003, 110.15207"
2020-04-03,Banjir,,,Cilacap,"-7.75895, 108.94703"
2020-04-04,Banjir,,,Cilacap,"-7.58153, 108.93117"
2020-04-04,Banjir,,,Kebumen,"-7.76458, 109.81914"
2020-04-05,Banjir,,,Cilacap,"-7.68367, 108.96291"
2020-04-05,Banjir,,,Pati,"-6.77638, 111.13562"
2020-04-06,Tidak Banjir,,,,
2020-04-07,Banjir,,,Pati,"-6.90543, 110.95994"
2020-04-08,Banjir,,,Purworejo,"-7.87828, 109.90067"
2020-04-09,Banjir,,,Cilacap,"-7.54908, 108.97051"
2020-04-09,Banjir,,"Kerugian Materil : 1.086 unit rumah terendam, 3 unit SD terendam, 1 unit SMP terendam, 1 unit gereja terendam, Jalan penghubung desa terendam sekitar 1 meter, Sawah masyarakat terendam sekitar 20 hektar masa 1 bulan tanam, 2 unit rumah (RS), 5 kwintal gabah hanyut, Jembatan desa ambrol dan tergerus sepanjang 16 meter dari bahu jalan (RB), 1 unit pohon tumbang, TMA 30 – 150 cm",Blora,"-7.23876, 111.41397"
2020-04-10,Tidak Banjir,,,,
2020-04-11,Tidak Banjir,,,,
2020-04-12,Banjir,,,Sragen,"-7.36446, 110.83554"
2020-04-13,Tidak Banjir,,,,
2020-04-14,Tidak Banjir,,,,
2020-04-15,Tidak Banjir,,,,
2020-04-16,Tidak Banjir,,,,
2020-04-17,Tidak Banjir,,,,
2020-04-18,Banjir,,,Purworejo,"-7.99627, 109.93687"
2020-04-19,Tidak Banjir,,,,
2020-04-20,Tidak Banjir,,,,
2020-04-21,Banjir,,"TMA, 30 Cm",Tuban,"-6.97548, 111.94591"
2020-04-22,Tidak Banjir,,,,
2020-04-23,Tidak Banjir,,,,
2020-04-24,Banjir,,"Korban Jiwa : 630 KK/1443 jiwa terdampak, sbb : Dusun Rowoganjar Desa Rowoboni Kec. Banyubiru: 1 dusun terdampak banjir 250 kk 650 jiwa terdampak. Dusun Kumpulrejo Desa Candirejo Kec. Tuntang : 300 kk 500 jiwa terdampak. RT01/07 Perum Sraten Permai : 25 kk 80 jiwa. RT02/07 Perum Sraten Permai : 30 kk 120 jiwa. RT03/07 Perum Sraten Permai : 30 kk 93 jiwa. Kerugian Materil : 6 unit rumah RR, 60 unit rumah terendam, sbb : Dusun Kumpulrejo Desa Candirejo Kec. Tuntang : 2 rumah rusak ringan milik Bp. Asep dan Ibu Rukini. RT01/07 Perum Sraten Permai : terendam sekitar 1 m, 1 rumah rusak ringan. RT02/07 Perum Sraten Permai : 30 rumah terendam sekitar 1 m. RT03/07 Perum Sraten Permai : 30 rumah terendam sekitar 60 cm. RT05/07 Perum Sraten Permai : 2 rumah rusak ringan milik Bp. Setiawan dan Bp. Zahrul.",Klaten,"-7.77966, 110.70465"
2020-04-25,Tidak Banjir,,,,
2020-04-26,Tidak Banjir,,,,
2020-04-27,Tidak Banjir,,,,
2020-04-28,Banjir,,,Cilacap,"-7.51823, 108.94043"
2020-04-29,Tidak Banjir,,,,
2020-04-30,Tidak Banjir,,,,
2020-05-01,Tidak Banjir,,,,
2020-05-02,Banjir,,TMA 10 – 15 cm,Magelang,"-7.64032, 110.30022"
2020-05-02,Banjir,,,Sukaharjo,"-7.67804, 110.90895"
2020-05-03,Tidak Banjir,,,,
2020-05-04,Tidak Banjir,,,,
2020-05-05,Tidak Banjir,,,,
2020-05-06,Tidak Banjir,,,,
2020-05-07,Tidak Banjir,,,,
2020-05-08,Tidak Banjir,,,,
2020-05-09,Banjir,,,Cilacap,"-7.69236, 108.92157"
2020-05-09,Banjir,,,Karanganyar,"-7.5321, 110.72879"
2020-05-09,Banjir,,,Sukoharjo,"-7.67804, 110.90895"
2020-05-10,Banjir,,,Boyolali,"-7.54771, 110.53267"
2020-05-10,Banjir,,,Demak,"-6.95605, 110.72601"
2020-05-11,Tidak Banjir,,,,
2020-05-12,Tidak Banjir,,,,
2020-05-13,Banjir,,,Grobogan,"-6.98983, 110.7989"
2020-05-14,Tidak Banjir,,,,
2020-05-15,Tidak Banjir,,,,
2020-05-16,Tidak Banjir,,,,
2020-05-17,Tidak Banjir,,,,
2020-05-18,Tidak Banjir,,,,
2020-05-19,Tidak Banjir,,,,
2020-05-20,Tidak Banjir,,,,
2020-05-21,Tidak Banjir,,,,
2020-05-22,Tidak Banjir,,,,
2020-05-23,Tidak Banjir,,,,
2020-05-24,Tidak Banjir,,,,
2020-05-25,Banjir,,Korban Jiwa : • ± 50 KK terdampak Kerugian Materil : • ± 40 unit rumah terendam banjir (Pendataan) • ± 20 Ha Area tambak terdampak banjir • ± 10 Ha tanaman padi terdampak • TMA 20 – 60 cm di pemukiman,Cilacap,"-7.96091, 108.85761"
2020-05-25,Tidak Banjir,,,Kebumen,"-7.7469, 109.51481"
2020-05-26,Tidak Banjir,,,,
2020-05-27,Tidak Banjir,,,,
2020-05-28,Tidak Banjir,,,,
2020-05-29,Tidak Banjir,,,,
