Waktu,Kejadian,Penyebab,Keterangan,Lokasi,Posisi
2021-03-24,Banjir,- Terjadi hujan dikawasan Karangrayung pada hari Rabu 24 Maret 2021 PKL 21.00 s/d 23.00 wib.mengakibatkan banjir di wilayah desa Ketro dan mengakibatkan beberapa rumah kebanjiran dan jembatan patah.,"Setelah terjadi nya hujan dikawasan karangrayung pada hari Rabu 24 Maret 2021 PKL 21.00 s/d 23.00 wib.mengakibatkan banjir di wilayah desa Ketro dan mengakibatkan beberapa rumah kebanjiran dan jembatan patah yang diantaranya: 1.rumah sudarmanto dsn kangkungan rt 03 rw 05,rumah dinding dan prabotan rumah di bawa arus derasnya banjir 2.jembatan dusun lengkong rt 05 rw 06 3.jembatan dsn kangkungan rt 03 rw 05 4.jembatan dsn gedad rt 06 rw 07 5.jembatan dsn gedad rt 04 rw 07 6. Jembatan pondok pesantren rododulhufat dsn ketro barat rt 05 rw 01 Ijin melaporkan, terdampak banjir diwilayah kecamatan Godong sebagai akibat normalisasi sungai blm selesai dan buangan sampah menyumbat menyebabkan banjir di desa : 1. Guci Poktan Sri Lestari 35 ha umur tanaman 7 HST. 2. Sumberagung Poktan a. Rukun Santoso 15 ha umur 15 HST b. Tani Makmur 20 ha umur 10 HST 3. Werdoyo Poktan Mawarsari 90 ha umur 7 HST 4. Gundi Poktan Rejeki 15ha umur 7 HST 5. Kemloko Poktan Jaya 30 ha tertunda masa tanamnya. 6. Guyangan Poktan a. Pangudi Rejeki 15 ha Tertunda masa tanamnya b. Sido Subur 40 ha tertunda masa tanamnya Total keseluruhan : 260 ha a. Tanaman tergenang 175 ha b. Terunda tanam 85 ha""",Grobogan,"-6.999696816965943, 111.14557785516175"
2021-03-24,Banjir,,,Sleman,"-7.724, 110.37885"
2021-03-25,Banjir,Hujan Lebat,Banjir di Kecamatan Pegandon,Kendal,"-7.0020821581657255, 110.13862628401947"
2021-03-26,Tidak Banjir,,,,
2021-03-27,Tidak Banjir,,,,
2021-03-28,Tidak Banjir,,,,
2021-03-29,Tidak Banjir,,,,
2021-03-30,Tidak Banjir,,,,
2021-03-31,Banjir,Hujan yang mengguyur wilayah Wilayah Kecamatan Klambu dan Sekitarnya pada jam 20.30 - 23.30 WIB. Dalam kejadian ini tidak ada korban jiwa.,"Hujan yang mengguyur wilayah Wilayah Kecamatan Klambu dan Sekitarnya pada jam 20.30 - 23.30 WIB. Dalam kejadian ini tidak ada korban jiwa. D. Dampak 1. Desa Klambu - Rumah tergenang sebanyak 1900 rumah - kanto 3 kecamatan, Koramil, mapolsek - sekolah 4 sekolah - 1 ponpes - 2 masjid dan 12 mushola Genangan berfariasi dari 40 cm SD 2 meter 2. Desa Penganten - rumah tergenang 500 unit - rumah rusak 20 unit Ketinggian genanganan sekitar 40 cm sd 1.5 meter.",Grobogan,"-6.997311463573288, 110.78939307106201"
2021-03-31,Banjir,,,Magelang,"-7.59073, 110.26496"
2021-04-01,Banjir,Meluapnya sungai wiroko,"Banjir di Dusun Sumbulan Ds, Tanjungsari",Wonogiri,"-7.962046, 111.036738"
2021-04-01,Banjir,Telah terjadi banjir bandang dari luapan pegunungan Desa Klambu sehingga mengakibatkan banjir di Wilayah Kantor Kecamatan Klambu.,Pada hari kamis tanggal 01 April 2021 pukul 00.30 WIB telah terjadi banjir bandang dari luapan pegunungan Desa Klambu sehingga mengakibatkan banjir di wilayah kantor Kecaamatan Klambu.,Grobogan,"-6.998844906439478, 110.78990591029354"
2021-04-01,Banjir,,,Sukoharjo,"-7.70976, 110.91399"
2021-04-02,Tidak Banjir,,,,
2021-04-03,Tidak Banjir,,,,
2021-04-04,Tidak Banjir,,,,
2021-04-05,Tidak Banjir,,,,
2021-04-06,Banjir,,,Pacetan,"-7.96597, 111.14728"
2021-04-07,Tidak Banjir,,,,
2021-04-08,Banjir,Banjir terjadi dikarenakan curah hujan yang tinggi dari daerah hulu dan hujan di daerah sekitar.,"Banjir terjadi dikarenakan curah hujan yang tinggi dari daerah hulu dan hujan didaerah sekitar. curah hujan tersebut membuat air sungai Renggong Banjir sehingga sekitar pukul 20.30 Wib Aliran Sungai meluap ke persawahan warga kemudian air masuk kerumah pemukiman penduduk disebagian wilayah desa sukorejo terendam, yaitu Dusun kedok ombo, ketinggian air yang masuk ke rumah warga rata rata setinggi kurang lebih 30 - 49 Cm dan sekira Pukul 22.30 Wib air sudah mulai surut. dan tidak ada korban jiwa dalam peristiwa tersebut.",Grobogan,"-7.083346826400829, 110.61447699790706"
2021-04-09,Tidak Banjir,,,,
2021-04-10,Banjir,,TMA ± 90-150 cm,Kebumen,"-7.66563, 109.73774"
2021-04-11,Banjir,Meluapnya anakan sungai Tuntang.,"meluapnya anakan sungai tuntang, lahan pertanian tanaman jagung 5 Ha terancam gagal panen.",Grobogan,"-7.166641022577167, 110.63301163147993"
2021-04-11,Banjir,Hujan intensitas sedang - tinggi,Pada hari Minggu tanggal 11 April 2021 telah terjadi banjir akibat sungai Pemali meluap dan sungai kecil alirannya tertahan oleh derasnya sungai Pemali terjadi pada 04.35 wib rembesan sungai pemali masuk ke persawahan dengan ketinggian banjir 50 cm,Brebes,"-7.054813, 108.934297"
2021-04-12,Banjir,,,Cilacap,"-7.77621, 108.94053"
2021-04-13,Tidak Banjir,,,,
2021-04-14,Banjir,,Tma 20 – 30 cm,Karanganyar,"-7.61078, 110.96301"
2021-04-15,Tidak Banjir,,,,
2021-04-16,Tidak Banjir,,,,
2021-04-17,Tidak Banjir,,,,
2021-04-18,Tidak Banjir,,,,
2021-04-19,Tidak Banjir,,,,
2021-04-20,Tidak Banjir,,,,
2021-04-21,Tidak Banjir,,,,
2021-04-22,Tidak Banjir,,,,
2021-04-23,Tidak Banjir,,,,
2021-04-24,Tidak Banjir,,,,
2021-04-25,Banjir,,,,
2021-04-26,Tidak Banjir,,,,
2021-04-27,Tidak Banjir,,,,
2021-04-28,Tidak Banjir,,,,
2021-04-29,Tidak Banjir,,,,
2021-04-30,Tidak Banjir,,,,
2021-05-01,Tidak Banjir,,,,
2021-05-02,Tidak Banjir,,,,
2021-05-03,Tidak Banjir,,,,
2021-05-04,Banjir,,TMA 25 cm,Wonosobo,"-7.29149, 109.90815"
2021-05-04,Banjir,,Sekitar pkl. 13.30 wib terjadi angin kencang yang mengakibatkan tembok kanan & dapur rumah dari Bpk. Agung  50 th  ROBOH. Rumah tsb dihuni 1 KK 5 jiwa Tidak ada korban jiwa dalam peristiwa tsb. Penyebab : angin kencang. Korban Jiwa : Nihil,Kota Semarang,"-7.006852803970465, 110.41809082031251"
2021-05-05,Tidak Banjir,,,,
2021-05-06,Tidak Banjir,,,,
2021-05-07,Banjir,,TMA 5 – 20 CM,Wonosobo,"-7.28695, 109.98997"
2021-05-08,Tidak Banjir,,,,
2021-05-09,Tidak Banjir,,,,
2021-05-10,Tidak Banjir,,,,
2021-05-11,Tidak Banjir,,,,
2021-05-12,Tidak Banjir,,,,
2021-05-13,Tidak Banjir,,,,
2021-05-14,Tidak Banjir,,,,
2021-05-15,Banjir,Hujan Lebat,Banjir disertai longsor di Desa Darupono Kecamatan Kaliwungu Selatan,Kendal,"-7.018608829818015, 110.26574153365323"
2021-05-16,Tidak Banjir,,,,
2021-05-17,Tidak Banjir,,,,
2021-05-18,Tidak Banjir,,,,
2021-05-19,Tidak Banjir,,,,
2021-05-20,Tidak Banjir,,,,
2021-05-21,Tidak Banjir,,,,
2021-05-22,Tidak Banjir,,,,
2021-05-23,Tidak Banjir,,,,
2021-05-24,Tidak Banjir,,,,
2021-05-25,Tidak Banjir,,,,
2021-05-26,Tidak Banjir,,,,
2021-05-27,Tidak Banjir,,,,
2021-05-28,Tidak Banjir,,,,
2021-05-29,Banjir,,"Akibat hujan deras pada hari Sabtu, 29 Mei 2021 mengakibatkan banjir sekitar pkl. 17.00 wib di wil. Kel. Ngaliyan dg ketinggian mencapai 30 - 40 cm. Debit air ber - angsur - angsur surut mulai pkl. 19.30 wib. Sudah terkondisikan.",Kota Semarang,"-7.0082158366633935, 110.42768585445813"
2021-05-30,Tidak Banjir,,,,
2021-05-31,Tidak Banjir,,,,
2021-06-01,Tidak Banjir,,,,
2021-06-02,Tidak Banjir,,,,
2021-06-03,Tidak Banjir,,,,
2021-06-04,Tidak Banjir,,,,
2021-06-05,Tidak Banjir,,,,
2021-06-06,Tidak Banjir,,,,
2021-06-07,Tidak Banjir,,,,
2021-06-08,Tidak Banjir,,,,
2021-06-09,Tidak Banjir,,,,
2021-06-10,Banjir,,"Kamis, 10 Juni 2021 sekitar pkl. 15.30 wib salah seorang warga Rowo Tengah, saat pulang kerja melihat kepulan asap di rumah Bpk. Solichin  53 th  yg dihuni oleh 1 KK 3 Jiwa. Kmdn warga tsb berteriak minta tolong kepada warga sekitar untuk memadamkan api. Api membakar 1 ruang tamu, 1 kamar tidur, surat2 penting dan perabotan rumah tangga. Warga berhasil memadamkan api secara manual. Tidak ada korban jiwa dalam kejadian tsb.",Semarang,"-7.287792, 110.456609"
2021-06-11,Tidak Banjir,,,,
2021-06-12,Tidak Banjir,,,,
2021-06-13,Tidak Banjir,,,,
2021-06-14,Tidak Banjir,,,,
2021-06-15,Tidak Banjir,,,,
2021-06-16,Tidak Banjir,,,,
2021-06-17,Banjir,,,Sragen,"-7.51153, 110.98198"
2021-06-18,Tidak Banjir,,,,
2021-06-19,Tidak Banjir,,,,
2021-06-20,Tidak Banjir,,,,
2021-06-21,Tidak Banjir,,,,
2021-06-22,Tidak Banjir,,,,
2021-06-23,Tidak Banjir,,,,
2021-06-24,Tidak Banjir,,,,
2021-06-25,Tidak Banjir,,,,
2021-06-26,Tidak Banjir,,,,
2021-06-27,Tidak Banjir,,,,
2021-06-28,Tidak Banjir,,,,
2021-06-29,Tidak Banjir,,,,
2021-06-30,BANJIR,,,Kebumen,"-7.64507, 109.70367"
2021-07-01,BANJIR,,,Cilacap,"-7.95133, 108.89066"
2021-07-02,Tidak Banjir,,,,
2021-07-03,Tidak Banjir,,,,
2021-07-04,Tidak Banjir,,,,
2021-07-05,Tidak Banjir,,,,
2021-07-06,Tidak Banjir,,,,
2021-07-07,Tidak Banjir,,,,
2021-07-08,Tidak Banjir,,,,
2021-07-09,Tidak Banjir,,,,
2021-07-10,Tidak Banjir,,,,
2021-07-11,Tidak Banjir,,,,
2021-07-12,Tidak Banjir,,,,
2021-07-13,Tidak Banjir,,,,
2021-07-14,Tidak Banjir,,,,
2021-07-15,Tidak Banjir,,,,
2021-07-16,Tidak Banjir,,,,
2021-07-17,Tidak Banjir,,,,
2021-07-18,Tidak Banjir,,,,
2021-07-19,Tidak Banjir,,,,
2021-07-20,Tidak Banjir,,,,
2021-07-21,"BANJIR DS. CILIBANG, KEC. JERUKLEGI","Hujan intensitas tinggi dari tgl 20 Juli 2021 jam 21.00 WIB sd 21 Juli 2021 jam 08.00 dan menyebabkan Sungai Jambu, Ds. Cilibang, Kec. Jeruklegi meluap",TMA 50 –150 cm,Cilacap,"-7.53741, 108.81542"
2021-07-22,Tidak Banjir,,,,
2021-07-23,Tidak Banjir,,,,
2021-07-24,Tidak Banjir,,,,
2021-07-25,Tidak Banjir,,,,
2021-07-26,Tidak Banjir,,,,
2021-07-27,Tidak Banjir,,,,
2021-07-28,Tidak Banjir,,,,
2021-07-29,Tidak Banjir,,,,
2021-07-30,Tidak Banjir,,,,
2021-07-31,Tidak Banjir,,,,
2021-08-01,Tidak Banjir,,,,
2021-08-02,Tidak Banjir,,,,
2021-08-03,Tidak Banjir,,,,
2021-08-04,Tidak Banjir,,,,
2021-08-05,Tidak Banjir,,,,
2021-08-06,Tidak Banjir,,,,
2021-08-07,Tidak Banjir,,,,
2021-08-08,Tidak Banjir,,,,
2021-08-09,Tidak Banjir,,,,
2021-08-10,Tidak Banjir,,,,
2021-08-11,Tidak Banjir,,,,
2021-08-12,Tidak Banjir,,,,
2021-08-13,Tidak Banjir,,,,
2021-08-14,Tidak Banjir,,,,
2021-08-15,Tidak Banjir,,,,
2021-08-16,Tidak Banjir,,,,
2021-08-17,Tidak Banjir,,,,
2021-08-18,Tidak Banjir,,,,
2021-08-19,Tidak Banjir,,,,
2021-08-20,Tidak Banjir,,,,
2021-08-21,Tidak Banjir,,,,
2021-08-22,Tidak Banjir,,,,
2021-08-23,Tidak Banjir,,,,
2021-08-24,Tidak Banjir,,,,
2021-08-25,Tidak Banjir,,,,
2021-08-26,Tidak Banjir,,,,
2021-08-27,Tidak Banjir,,,,
2021-08-28,Tidak Banjir,,,,
2021-08-29,Tidak Banjir,,,,
2021-08-30,Tidak Banjir,,,,
2021-08-31,Tidak Banjir,,,,
2021-09-01,Tidak Banjir,,,,
2021-09-02,Tidak Banjir,,,,
2021-09-03,Tidak Banjir,,,,
2021-09-04,Tidak Banjir,,,,
2021-09-05,Tidak Banjir,,,,
2021-09-06,Tidak Banjir,,,,
2021-09-07,Tidak Banjir,,,,
2021-09-08,Tidak Banjir,,,,
2021-09-09,Tidak Banjir,,,,
2021-09-10,Tidak Banjir,,,,
2021-09-11,Tidak Banjir,,,,
2021-09-12,Tidak Banjir,,,,
2021-09-13,Tidak Banjir,,,,
2021-09-14,Tidak Banjir,,,,
2021-09-15,Tidak Banjir,,,,
2021-09-16,Tidak Banjir,,,,
2021-09-17,Tidak Banjir,,,,
2021-09-18,Tidak Banjir,,,,
2021-09-19,Tidak Banjir,,,,
2021-09-20,Tidak Banjir,,,,
2021-09-21,Tidak Banjir,,,,
2021-09-22,Tidak Banjir,,,,
2021-09-23,kejadian genangan di wilayah kecamatan Sidareja,1. Curah hujan tinggi. 2. Saluran pembuangan air  drainase  yang kurang lancar. 3. Kondisi geografis ketinggingan jalan di beberapa tempat lebih rendah dari permukaan sungai.,Tempat Kejadian : 1. Ruas jalan Perintis Desa Sidareja  Jalan Kabupaten / Sebelah Kantor Polsek Sidareja . 2. Ruas jalan Kauman Selatan Desa Gunungreja  Sebelah barat alun - alun Sidareja dan belakang Pasar Karna Manunggal Sidareja  Akibat Kejadian : Terjadi genangan air di beberapa ruas jalan di Kecamatan Sidareja dengan ketinggian genanganan air 10 s.d 15 cm. Kondisi Terkini : 1. Ketinggian permukaan air di Sungai Cieubereum relatif masih aman. 2. Perkembangan lebih lanjut menyusul dan segera dilaporkan ke Pusdalops BPBD Kab. Cilacap terkait drainage menjadi kewenangan Disperkimta.dan blm.ada respon.,Cilacap,"-7.484019, 108.791873"
2021-09-24,Tidak Banjir,,,,
2021-09-25,Tidak Banjir,,,,
2021-09-26,Tidak Banjir,,,,
2021-09-27,Tidak Banjir,,,,
2021-09-28,Tidak Banjir,,,,
2021-09-29,Tidak Banjir,,,,
2021-09-30,Tidak Banjir,,,,
2021-10-01,Tidak Banjir,,,,
2021-10-02,Tidak Banjir,,,,
2021-10-03,Tidak Banjir,,,,
2021-10-04,Tidak Banjir,,,,
2021-10-05,Tidak Banjir,,,,
2021-10-06,Tidak Banjir,,,,
2021-10-07,Tidak Banjir,,,,
2021-10-08,Tidak Banjir,,,,
2021-10-09,Tidak Banjir,,,,
2021-10-10,Tidak Banjir,,,,
2021-10-11,Tidak Banjir,,,,
2021-10-12,Tidak Banjir,,,,
2021-10-13,Tidak Banjir,,,,
2021-10-14,Tidak Banjir,,,,
2021-10-15,Tidak Banjir,,,,
2021-10-16,Tidak Banjir,,,,
2021-10-17,Tidak Banjir,,,,
2021-10-18,Tidak Banjir,,,,
2021-10-19,Tidak Banjir,,,,
2021-10-20,Tidak Banjir,,,,
2021-10-21,Tidak Banjir,,,,
2021-10-22,Tidak Banjir,,,,
2021-10-23,Tidak Banjir,,,,
2021-10-24,Tidak Banjir,,,,
2021-10-25,Tidak Banjir,,,,
2021-10-26,Tidak Banjir,,,,
2021-10-27,Tidak Banjir,,,,
2021-10-28,Tidak Banjir,,,,
2021-10-29,Laporan Awal Kejadian Tanah Longsor & Banjir Desa. Limbangan Kecamatan. Wanareja,Hujan dengan intensitas tinggi mulai pukul 15.00 wib s/d 19.00 wib.,"I. Waktu kejadian : ~• Hari/tgl : Rabu, 27 Oktober 2021. ~• Waktu : Pkl. 17.45 wib. II. Lokasi Kejadian : 1. Tanah longsor. Dusun Ciherang, Rt 07 Rw 12 Desa Limbangan Kec.Wanareja. 2. Banjir. ~• Dusun Karangnangka, Dusun Karanggendot, Dusun Kroya Desa Limbangan Kec. Wanareja. ~• Dusun Cibungur, Rt 01,03,04 /Rw 16 Desa Wanareja Kec. Wanareja. ~• Dusun Nyakra, Rt 01,02,06 Rw 07 Desa Salebu Kecamatan Majenang. III. Penyebab Kejadian : Hujan dengan intensitas tinggi mulai pukul 15.00 wib s/d 19.00 wib. IV. Kronologis Kejadian : ~• Pada hari rabu sore terjadi hujan dengan intensitas tinggi disertai petir di wilayah kerja UPT BPBD Majenang dari pukul 15.00 wib s/d 19.00 wib, menyebabkan sungai cigeugeumeh  Desa Limbangan dan sungai cilaca Desa Wanareja Kecamatan Wanareja meluap /limpas karena sungai tidak dapat menampung debit air dan masuk ke pemukiman penduduk dan area persawahan. ~• Hujan dengan intensitas yang tinggi juga mengakibatkan longsor di beberapa titik / lokasi. V. Akibat kejadian : ~• Tebing dengan tinggi +/- 15 meter longsor dan mengancam 5 rmh di Rt 07 Rw 12 Dusun Ciherang Desa Limbangan Kecamatan Wanareja An : 1. Abdulah, 31 th, 4 jiwa. 2. Warkim, 55 th, 6 jiwa. 3. Haryati, 41 th, 4 jiwa. 4. Tartam, 50 th, 3 jiwa. ~• Sungai Cigeugeumeh meluap/limpas masuk ke pemukiman warga yang berada di 3 dusun yaitu : ~• Dusun Karanggendot, Dusun Karangnangka dan Dusun Kroya Desa Limbangan Kecamatan Wanareja, mengakibatkan air masuk ke rmh warga dengan tinggi +/- 15 cm s/d 100 cm, di 200 rmh warga. • 60 rmh di Dusun Nyakra Desa Salebu Kecamtan Majenang dan area persawahan. ~• Sungai Cilaca meluap/limpas masuk ke pemukiman warga di Dusun Cibungur Desa Wanareja Kecamatan Wanareja di Rt 01, 03, 04 Rw 16 masuk ke rmh warga +/- 100 rmh dengan tinggi 20 cm s/d 100 cm dan area persawahan +/- 25 ha. VI. Korban : ~• Tidak ada/Nihil. VII. Kerusakan : ~• Masih dalam pendataan. VIII. Kerugian : ~• Masih dalam pengitungan. IX. Tindakan/upaya : ~• Cek lokasi bersama unsur Forkompimcam Wanareja dan perangkat desa untuk pendataan. ~• Menghimbau warga untuk lebih hati2/ waspada apabila masih terjadi hujan dengan intensitas tinggi yang dimungkinkan debit air sungai naik dan segera mengungsi ke tempat yang lebih aman. X. Kondisi Mutakhir : ~• Ketinggian air didalam rumah berangsur surut. ~• Kerjabakti warga di rmh masing2 untuk membersihan sisa2 lumpur yang masuk dlm rumah. ~• Kondisi saat ini hujan sudah reda, debit air sungai sudah mulai surut. XI. Kebutuhan mendesak : ~• Alkon dan alat kebersihan untuk membersihkan sisa2 lumpur di rmh warga. ~• Logistik permakanan untuk kerjabakti warga masyarakat. XII. Petugas Cek Lokasi : 1. Edi Sapto Priyono. 2. Basuki Rahmat. 3. Heri Novianto. 4. Arif Abdurrahman. 5. Wendi Seno Pambudi. 6. Lukman Hidayat. 7. Teguh Budi Wibowo.",Cilacap,"-7.305866, 108.719769"
2021-10-29,Banjir luapan,Hujan lebat dan debit air sungai caban meningkat,Pada hari jum'at 29 oktober terjadi hujan lebat di wilayah Keranji dan sekitarnya,Banyumas,"-7.427836528738325, 109.23362446433171"
2021-10-29,Banjir Luapan Selomerto,Penyebab terjadinya banjir adalah banyaknya sampah yang ada di dalam gorong-gorong dan mengaibatkab air meluap ke rumah warga,Banjir luapan dari Saluran air,Wonosobo,"-7.418263366135465, 109.88876492906408"
2021-10-30,Tidak Banjir,,,,
2021-10-31,Banjir Genangan Joyosuran,Drainase yang kurang memadai untuk masuknya air - sedimentasi di kali yang perlu dikeruk,"Luapan Kali Jenes yang menggenangi jalan Cikarang, Joyosuran",Kota Surakarta,"-7.58814272853711, 110.82860825160485"
2021-10-31,BANJIR,HUJAN DERAS MENGGUYUR GUNUNG KENDENG,HUJAN DERAS MENGAKIBATKAN BANJIR DI DESA CENGKALSEWU,Pati,"-6.909915855713884, 110.95741322438485"
2021-11-01,Tidak Banjir,,,,
2021-11-02,BANJIR,"air limpasan dari Kali Pasir sehingga menggenangi rumah warga,jalan dan area persawahan",Banjir yang terjadi di Desa Jatimalang Kecamatan Purwodadi,Purworejo,"-7.5232, 109.594"
2021-11-02,Banjir Bandang,Hujan dengan intensitas tinggi,"Air sudah berangsur surut, jalan desa sebagian sudah tidak terendam air dan rumah warga sudah tidak ada yang terendam air",Grobogan,"-6.997652229090024, 110.78785439377752"
2021-11-03,Tidak Banjir,,,,
2021-11-04,Tidak Banjir,,,,
2021-11-05,Banjir,"Hujan deras pada sore hari Tgl 4 November 2021 yang terjadi di hulu sungai Tuntang Kota Salatiga, Bawen dan sekitarnya - Karena debit air terlalu banyak","- Pohon tumbang menutupi sebagian jalan di Jln. Danyang – Candisari  sebelah barat SMP 7 Purwodadi  membuat arus lalulintas tidak lancar. '- Akibat hujan deras pada sore hari kemarin hari kamis, Tgl 4 November 2021 yang terjadi di hulu sungai tuntang  Kota Salatiga, Bawen dan sekitarnya  mengakibatkan sungai tuntang limpas. - Karena debit air yang terlalu banyak sehingga mengakibatkan sungai tuntang limpas dibeberapa wilayah di kecamatan kedungjati diantaranya Dusun Kalikan & Desa Klitikan masuk ke rumah warga. - menurut laporan dari kepala Desa Klitikan warga yg terdampak akibat limpasan dari sungai tuntang ada skitar 25 rumah, air masuk ke rumah warga dengan ketinggian sekitar 30 - 50 cm.AU86",Grobogan,"-7.17004741530956, 110.6539397422484"
2021-11-06,Tidak Banjir,,,,
2021-11-07,Tidak Banjir,,,,
2021-11-08,Tidak Banjir,,,,
2021-11-09,Banjir Bandang,Hujan Deras,Banjir Bandang di Desa Lebak RT. 02 RW. 05 Kecamatan Grobogan.,Grobogan,"-7.011623400954923, 110.87195237375876"
2021-11-10,Tidak Banjir,,,,
2021-11-11,Tidak Banjir,,,,
2021-11-12,Tidak Banjir,,,,
2021-11-13,Tidak Banjir,,,,
2021-11-14,banjir rob,hujan dan rob,banjir rob akibat tanggul penahan rob jebol. ketinggian air 30-60 cm,Pekalongan,"-7.042356, 109.64107"
2021-11-15,banjir,,,Rembang,"-6.769851, 111.462548"
2021-11-16,Bencana banjir yang terjadi di desa Caruy kecamatan Cipari Kab Cilacap,1. Curah hujan tinggi. 2. Drainase sepanjang Jalan Ahmad Yani  Jalan Kabupaten  di wilayah RW. 01-04 tidak berfungsi optimal.,"I. KEJADIAN BENCANA : Jenis Bencana : Banjir II. WAKTU KEJADIAN : 1. Hari : Selasa 2. Tanggal : 16 November 2021 3. Pukul : 15.15 WIB III. TEMPAT KEJADIAN : Dusun : Cigintung dan Karangjambu Desa : Caruy Kecamatan : Cipari Kabupaten : Cilacap Koordinat : -7.375315,108.802755 IV. PENYEBAB KEJADIAN : 1. Curah hujan tinggi. 2. Drainase sepanjang Jalan Ahmad Yani  Jalan Kabupaten  di wilayah RW. 01-04 tidak berfungsi optimal. V. AKIBAT KEJADIAN : A. Terjadi Banjir di 2 Dusun di wilayah Desa Caruy Kecamatan Cipari yang menggenangi pemukiman penduduk dan jalan - jalan dengan ketinggian genangan air sbb : 1. Di Jalan : 40-60 cm. 2. Di Pekarangan : 50-80 cm. 3. Di Dalam rumah : 5-10 cm. B. Luas wilayah yang terdampak : 1. Dusun Cigintung : RW 01 RT 01 & 03 RW 02 RT 01 s.d 05 2. Dusun Karangjambu : RW 03 RT 01,02,03,05,06 RW 04 RT 01,03,05 C. Jumlah penduduk yang terdampak Bencana : 514 KK 1.542 Jiwa. VI. KRONOLOGI/KONDISI UMUM : Pada hari Selasa, 16 November 2021 terjadi hujan dengan intensitas sedang s/d deras di wilayah Caruy yang mengakibatkan banjir karena debit air di sungai Cikawung tinggi sehingga aliran sungai dari sungai Cihaur terhambat. VII. KORBAN JIWA : Nihil dan tidak ada yang mengungsi. VIII. KERUSAKAN / KERUGIAN : Dalam pendataan. IX. KERUSAKAN LAIN. - Keterangan Lainnya: 1. Kondisi cuaca saat ini hujan dengan intensitas rendah. 2. Secara umum genangan air mulai berangsur surut. X KEBUTUHAN MENDESAK : - XI KENDALA : - XII. TINDAKAN YANG TELAH DILAKUKAN : 1. Cek lokasi dan assesment bersama Pemdes Caruy. 2. Menghimbau kepada masyarakat sekitar melalui ketua lingkungan  Kepala Dusun  agar meningkatkan kewaspadaan. XII. PENUTUP : Demikian Untuk Menjadikan Periksa. Cilacap, 16 November 2021",Cilacap,"-7.367374, 108.803998"
2021-11-17,"BANJIR DI 4 DESA  PADANGSARI, MULYASARI, MULYADADI, PAHONJEAN  DI KECAMATAN MAJENANG",Curah hujan tinggi dan luapan air dari sungai solokan 1 PTPN Bantar Kawung,Terjadi banjir di 4 desa di wilayah kecamatan Majenang akibat dari luapan air dari sungai Solokan 1 PTPN Kebun Kawung,Cilacap,"-7.354117, 108.753066"
2021-11-17,Banjir,Banjir disebabkan oleh hujan yang sangat deras,"Beberapa wilayah dikabupaten Grobogan. Kec. Karangrayung 1. Ds sumberjosari 2. Ds mojoagung pukul 23.46 WIB sudah mulai surut, dan terpantau masih gerimis Jalan raya tergenang dg ketinggian 20 sd 75 cm serta menggenangi beberapa rumah dan perkantoran Kec. Toroh Ds tunggak jalan raya tunggak bolo tergenang dan tdk dapat dilalui Tim merapat Ketinggal air masuk rumah -+ 20 cm, untuk dijalan raya -+ 30-50 cm Terpantau air sudah mulai surut Kec klambu Desa klambu dsn pesantren jalan desa tergenang Kec. GROBOGAN 1. Dsn sekaran desa karangrejo Tim merapat info saat ini air sudah surut di pemukiman penduduk 2. Desa putatsari dusun Tahunan , RT 9 RW 4 Menggenangi jalan desa dan beberapa rumah penduduk  3. Dusun ketileng desa Putatsari kec.grobogan Air mulai naik -+ lutut orang dewasa Kec.purwodadi 1.Kel. Purwodadi menggenangi jalan lingkungan dan beberapa rumah penduduk 2. Kel. Kuripan Menggenangi jalan lingkungan dan beberapa rumah. Kec. Brati 1.dusun Kaligawe DS tirem kec brati RT 1 RW 2 mulai tergenang jam 20.30 , dengan ketinggian -+ 30cm info saat ini genangan mulai surut",Grobogan,"-7.083176475142739, 110.91452420593504"
2021-11-17,BANJIR,HUJAN DERAS,"AKIBAT HUJAN DERAS Mulai Pukul 17.30 di pegunungan kendeng, MENGAKIBATKAN BANJIR DI BEBERAPA DESA KEC KAYEN KABUPATEN PATI.",Pati,"-6.893148671154755, 110.98864420269445"
2021-11-17,BANJIR,,TMA 30-50 CM,Jepara,"-6.765791, 110.670307"
2021-11-17,Banjir Luapan,Hujan deras mewrata lebih dari 2 jam mengguyur kota Surakarta mengakibatkan beberapa banjir genangan di beberapa lokasi,Genangan +- 20 cm dan menghambat arus lalu lintas,Kota Surakarta,"-7.555217646437275, 110.8148217201233"
